Título,Autor,Idioma original,Año de publicación,Ventas,Género
A TALE OF TWO CITIES,Charles Dickens,English,1859,>200 million,Historical fiction
THE LITTLE PRINCE,Antoine de Saint-Exupéry,French,1943,200 million,"Fantasy, children's fiction"
THE ALCHEMIST,Paulo Coelho,Portuguese,1988,150 million,Fantasy
HARRY POTTER AND THE PHILOSOPHER'S STONE,J. K. Rowling,English,1997,120 million,"Fantasy, children's fiction"
AND THEN THERE WERE NONE,Agatha Christie,English,1939,100 million,Mystery
DREAM OF THE RED CHAMBER,Cao Xueqin,Chinese,1791,100 million,Family saga
THE HOBBIT,J. R. R. Tolkien,English,1937,100 million,"Fantasy, children's fiction"
ALICE'S ADVENTURES IN WONDERLAND,Lewis Carroll,English,1865,100 million,"Fantasy, absurdist fiction"
SHE: A HISTORY OF ADVENTURE,H. Rider Haggard,English,1887,83 million,Adventure
THE DA VINCI CODE,Dan Brown,English,2003,80 million,Mystery thriller
HARRY POTTER AND THE CHAMBER OF SECRETS,J. K. Rowling,English,1998,77 million,"Fantasy, children's fiction"
THE CATCHER IN THE RYE,J. D. Salinger,English,1951,65 million,Coming-of-age
THE BRIDGES OF MADISON COUNTY,Robert James Waller,English,1992,60 million,Romance
ONE HUNDRED YEARS OF SOLITUDE,Gabriel García Márquez,Spanish,1967,50 million,Magic realism
LOLITA,Vladimir Nabokov,English,1955,50 million,Novel
HEIDI,Johanna Spyri,German,1880,50 million,Children's fiction
THE COMMON SENSE BOOK OF BABY AND CHILD CARE,Benjamin Spock,English,1946,50 million,Manual
ANNE OF GREEN GABLES,Lucy Maud Montgomery,English,1908,50 million,Children's novel
BLACK BEAUTY,Anna Sewell,English,1877,50 million,Children's literature
THE NAME OF THE ROSE,Umberto Eco,Italian,1980,50 million,"Historical novel, mystery"
THE EAGLE HAS LANDED,Jack Higgins,English,1975,50 million,"War, thriller"
WATERSHIP DOWN,Richard Adams,English,1972,50 million,Children's fiction
THE HITE REPORT,Shere Hite,English,1976,50 million,nonfiction
CHARLOTTE'S WEB,E. B. White,English,1952,50 million,Children's fiction
