Título,Autor,Serie,Valoración,Votos
THE COMPLETE CALVIN AND HOBBES,Bill Watterson,,4.81,40293
ALL THE YOUNG DUDES - VOLUME TWO: YEARS 5 - 7,MsKingBean89,All the Young Dudes #2,4.81,17855
HEAVEN OFFICIAL'S BLESSING: TIAN GUAN CI FU,Mò Xiāng Tóng Xiù,Novel Vol. 4,4.78,13124
MARK OF THE LION TRILOGY,Francine Rivers,,4.78,13310
ALL THE YOUNG DUDES,MsKingBean89,,4.78,30154
WORDS OF RADIANCE,Brandon Sanderson,The Stormlight Archive #2,4.76,352865
THE WARDEN AND THE WOLF KING,Andrew       Peterson,The Wingfeather Saga #4,4.75,12769
LIGHT BRINGER,Pierce Brown,Red Rising Saga #6,4.75,36283
天官赐福 [TIĀN GUĀN CÌ FÚ],Mò Xiāng Tóng Xiù,,4.74,11930
HEAVEN OFFICIAL’S BLESSING [天官赐福],Mò Xiāng Tóng Xiù,,4.74,11930
HARRY POTTER SERIES BOX SET,J.K. Rowling,Harry Potter #1-7,4.74,288105
ESV STUDY BIBLE,Anonymous,,4.73,15423
IT'S A MAGICAL WORLD,Bill Watterson,Calvin and Hobbes #11,4.73,28352
"HARRY POTTER BOXED SET, BOOKS 1-5",J.K. Rowling,Harry Potter #1-5,4.72,147436
ALL THE YOUNG DUDES - VOLUME THREE: ‘TIL THE END,MsKingBean89,All The Young Dudes #3,4.72,14066
HARRY POTTER COLLECTION,J.K. Rowling,Harry Potter #1-6,4.72,32964
KNOW MY NAME,Chanel Miller,,4.71,201201
HEAVEN OFFICIAL'S BLESSING: TIAN GUAN CI FU,Mò Xiāng Tóng Xiù,Novel Vol. 3,4.7,15325
THE AUTHORITATIVE CALVIN AND HOBBES: A CALVIN AND HOBBES TREASURY,Bill Watterson,,4.7,23390
"பொன்னியின் செல்வன், முழுத்தொகுப்பு",Kalki,,4.7,10386
THE INDISPENSABLE CALVIN AND HOBBES,Bill Watterson,,4.7,22030
KINGDOM OF ASH,Sarah J. Maas,Throne of Glass #7,4.69,552989
KINGDOM OF ASH,Sarah J. Maas,Throne of Glass #7,4.69,552989
ALL THE YOUNG DUDES - VOLUME ONE: YEARS 1 - 4,MsKingBean89,All The Young Dudes #1,4.69,23299
THE HARRY POTTER COLLECTION 1-4,J.K. Rowling,Harry Potter #1-4,4.69,65768
THE MONSTER IN THE HOLLOWS,Andrew       Peterson,The Wingfeather Saga #3,4.69,14112
HOLY BIBLE: NEW LIVING TRANSLATION,Anonymous,,4.69,11376
HEAVEN OFFICIAL'S BLESSING: TIAN GUAN CI FU,Mò Xiāng Tóng Xiù,Novel Vol. 2,4.68,18371
THE DAYS ARE JUST PACKED,Bill Watterson,Calvin and Hobbes #8,4.67,24649
HEAVEN OFFICIAL'S BLESSING: TIAN GUAN CI FU,Mò Xiāng Tóng Xiù,Novel Vol. 5,4.67,11095
CLOCKWORK ANGEL; CLOCKWORK PRINCE; CLOCKWORK PRINCESS,Cassandra Clare,The Infernal Devices #1-3,4.66,17438
EL CAMINO DE LOS REYES,Brandon Sanderson,El archivo de las tormentas #1,4.66,497358
THE WAY OF KINGS,Brandon Sanderson,The Stormlight Archive #1,4.66,497355
SOMETHING UNDER THE BED IS DROOLING,Bill Watterson,Calvin and Hobbes #2,4.65,14874
A COURT OF MIST AND FURY,Sarah J. Maas,A Court of Thorns and Roses #2,4.65,1912342
UNA CORTE DE NIEBLA Y FURIA,Sarah J. Maas,Una corte de rosas y espinas #2,4.65,1912342
MANACLED,SenLinYu,,4.65,81267
A COURT OF MIST AND FURY,Sarah J. Maas,A Court of Thorns and Roses #2,4.65,1912342
