Título,Autor
DON QUIXOTE,Miguel de Cervantes
ALICE'S ADVENTURES IN WONDERLAND,Lewis Carroll
THE ADVENTURES OF HUCKLEBERRY FINN,Mark Twain
THE ADVENTURES OF TOM SAWYER,Mark Twain
TREASURE ISLAND,Robert Louis Stevenson
PRIDE AND PREJUDICE,Jane Austen
WUTHERING HEIGHTS,Emily Brontë
JANE EYRE,Charlotte Brontë
MOBY DICK,Herman Melville
THE SCARLET LETTER,Nathaniel Hawthorne
GULLIVER'S TRAVELS,Jonathan Swift
THE PILGRIM'S PROGRESS,John Bunyan
A CHRISTMAS CAROL,Charles Dickens
DAVID COPPERFIELD,Charles Dickens
A TALE OF TWO CITIES,Charles Dickens
LITTLE WOMEN,Louisa May Alcott
GREAT EXPECTATIONS,Charles Dickens
"THE HOBBIT, OR, THERE AND BACK AGAIN",J.R.R. Tolkien
"FRANKENSTEIN, OR, THE MODERN PROMETHEUS",Mary Shelley
OLIVER TWIST,Charles Dickens
UNCLE TOM'S CABIN,Harriet Beecher Stowe
CRIME AND PUNISHMENT,Fyodor Dostoyevsky
MADAME BOVARY: PATTERNS OF PROVINCIAL LIFE,Gustave Flaubert
THE RETURN OF THE KING,J.R.R. Tolkien
DRACULA,Bram Stoker
THE THREE MUSKETEERS,Alexandre Dumas
BRAVE NEW WORLD,Aldous Huxley
WAR AND PEACE,Leo Tolstoy
TO KILL A MOCKINGBIRD,Harper Lee
THE WIZARD OF OZ,L. Frank Baum
LES MISÉRABLES,Victor Hugo
THE SECRET GARDEN,Frances Hodgson Burnett
ANIMAL FARM,George Orwell
THE GREAT GATSBY,F. Scott Fitzgerald
THE LITTLE PRINCE,Antoine de Saint-Exupéry
THE CALL OF THE WILD,Jack London
"20,000 LEAGUES UNDER THE SEA",Jules Verne
ANNA KARENINA,Leo Tolstoy
THE WIND IN THE WILLOWS,Kenneth Grahame
THE PICTURE OF DORIAN GRAY,Oscar Wilde
THE GRAPES OF WRATH,John Steinbeck
SENSE AND SENSIBILITY,Jane Austen
THE LAST OF THE MOHICANS,James Fenimore Cooper
TESS OF THE D'URBERVILLES,Thomas Hardy
HARRY POTTER AND THE SORCERER'S STONE,J.K. Rowling
HEIDI,Johanna Spyri
ULYSSES,James Joyce
THE COMPLETE SHERLOCK HOLMES,Arthur Conan Doyle
